GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
persistence_g1_3,edu.uga.miage.m1.polygons.gui,JDrawingFrame,325,0,14,0,72,0,20,0,13,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui,GUIHelper.new WindowAdapter() {...},6,0,0,0,3,0,2,0,2,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui,App,11,0,0,0,4,0,2,0,2,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui,JDrawingFrame.Shapes,27,0,0,0,2,0,1,0,1,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui,TheClient,249,0,25,0,66,0,26,0,12,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui,JDrawingFrame.ShapeActionListener,48,0,4,0,11,0,4,0,2,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui,GUIHelper,16,0,0,0,5,0,1,0,1,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui.persistence,JSonVisitor,10,44,0,0,2,11,1,6,1,6
persistence_g1_3,edu.uga.miage.m1.polygons.gui.persistence,XMLVisitor,10,58,0,0,2,11,1,6,1,6
persistence_g1_3,edu.uga.miage.m1.polygons.gui.command,Add,31,0,0,0,12,0,5,0,5,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui.command,Move,52,0,0,0,18,0,7,0,7,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui.command,TheInvoker,86,0,6,0,19,0,8,0,5,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui.shapes,Triangle,148,19,2,0,24,6,5,3,4,3
persistence_g1_3,edu.uga.miage.m1.polygons.gui.shapes,Square,83,19,0,0,17,6,4,3,4,3
persistence_g1_3,edu.uga.miage.m1.polygons.gui.shapes,Cube,46,0,0,0,17,0,7,0,7,0
persistence_g1_3,edu.uga.miage.m1.polygons.gui.shapes,Circle,79,23,0,0,15,8,3,4,3,4
persistence_g1_3,edu.uga.miage.m1.polygons.gui.iodrawing,DrawingIO,393,0,34,0,94,0,28,0,10,0
